stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,500.00000000,0.00204904,103,98,49,2098,2326,full
1,475.00000000,0.00432983,106,98,45,2098,2255,full
2,451.25000000,0.00679500,105,100,43,2098,2243,full
3,428.68750000,0.00932213,104,100,43,2098,2202,full
4,407.25312500,0.01218042,107,98,51,2045,2227,full
5,386.89046875,0.01496446,103,97,50,2045,2287,full
6,367.54594531,0.01742867,105,97,43,2030,2164,full
7,349.16864805,0.02023746,106,96,46,2030,2177,full
8,331.71021564,0.02351100,100,96,45,2030,2316,full
9,315.12470486,0.02635521,107,100,41,2030,2335,full
10,299.36846962,0.02971038,102,99,43,2030,2185,full
11,284.40004614,0.03364775,106,96,56,2030,2264,full
12,270.18004383,0.03794125,103,98,50,2030,2202,full
13,256.67104164,0.04207908,103,100,54,2006,2186,full
14,243.83748956,0.04634754,102,99,47,1957,2071,full
15,231.64561508,0.05092796,104,98,50,1957,2203,full
16,220.06333433,0.05626225,107,97,53,1957,2245,full
17,209.06016761,0.06141617,103,97,43,1957,2168,full
18,198.60715923,0.06684829,103,95,48,1957,2100,full
19,188.67680127,0.07303425,102,99,47,1957,2075,full
20,179.24296120,0.07923746,103,99,51,1957,2117,full
21,170.28081314,0.08597512,108,95,49,1957,2053,full
22,161.76677249,0.09269683,104,93,48,1957,2196,full
23,153.67843386,0.09951642,105,89,38,1913,2092,full
24,145.99451217,0.10741233,105,94,47,1913,2150,full
25,138.69478656,0.11480571,101,94,42,1913,2104,full
26,131.76004723,0.12307967,105,94,43,1913,1995,full
27,125.17204487,0.13117954,104,93,51,1913,2066,full
28,118.91344263,0.14013558,103,92,48,1913,2222,full
29,112.96777050,0.14867958,102,97,48,1913,2211,full
30,107.31938197,0.15851942,107,90,39,1913,2018,full
31,101.95341287,0.16773754,104,93,48,1913,2038,full
32,96.85574223,0.17799100,103,94,47,1913,2233,full
33,92.01295512,0.18851879,104,95,35,1913,2066,full
