stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,100.00000000,0.00165975,105,96,40,434,542,full
1,95.00000000,0.00316600,106,99,43,424,494,full
2,90.25000000,0.00456829,109,95,42,394,436,full
3,85.73750000,0.00577567,100,91,44,394,498,full
4,81.45062500,0.00696500,101,92,46,384,437,full
5,77.37809375,0.00824529,104,94,41,384,466,full
6,73.50918906,0.00959108,105,95,46,343,516,full
7,69.83372961,0.01088700,104,92,38,343,380,full
8,66.34204313,0.01211758,104,94,45,343,464,full
9,63.02494097,0.01333121,107,94,45,343,432,full
10,59.87369392,0.01439008,103,92,41,343,478,full
11,56.88000923,0.01508258,104,95,45,343,473,full
12,54.03600877,0.01577529,107,95,43,343,426,full
13,51.33420833,0.01645596,103,93,46,343,495,full
14,48.76749791,0.01726671,102,89,40,343,464,full
15,46.32912302,0.01796267,105,87,35,343,464,full
16,44.01266687,0.01872625,102,94,49,343,441,full
