stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,300.00000000,0.00086225,106,98,40,448,498,full
1,285.00000000,0.00186650,104,99,48,436,509,full
2,270.75000000,0.00282363,108,96,44,404,433,full
3,257.21250000,0.00400771,103,96,48,376,399,full
4,244.35187500,0.00537083,105,97,50,376,459,full
5,232.13428125,0.00705267,102,97,40,376,547,full
6,220.52756719,0.00874454,104,99,52,376,534,full
7,209.50118883,0.01072242,107,98,39,376,402,full
8,199.02612939,0.01302771,104,98,54,376,471,full
9,189.07482292,0.01568383,106,100,51,376,477,full
10,179.62108177,0.01877850,106,99,47,376,425,full
11,170.64002768,0.02185671,104,97,49,376,469,full
12,162.10802630,0.02587692,101,94,42,376,465,full
13,154.00262498,0.02980150,104,98,47,369,391,full
14,146.30249373,0.03355263,101,96,46,369,446,full
15,138.98736905,0.03798800,105,96,43,369,508,full
16,132.03800060,0.04237412,106,99,43,369,498,full
17,125.43610057,0.04700229,102,95,45,369,472,full
18,119.16429554,0.05201288,109,97,45,369,442,full
19,113.20608076,0.05723917,101,95,48,369,493,full
20,107.54577672,0.06267350,105,98,47,369,491,full
21,102.16848789,0.06934179,104,93,38,369,453,full
22,97.06006349,0.07560804,105,95,44,369,489,full
23,92.20706032,0.08178342,108,94,43,369,504,full
